timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1741564899,-592,-20,15380,-166,93,53
1741564900,-592,-124,15364,-135,103,68
1741564901,-264,-16,15488,-163,116,66
1741564902,-484,-252,15396,-171,90,68
1741564903,-608,-4,15196,-163,119,50
1741564904,-636,-216,15500,-157,96,66
1741564905,-524,-140,15820,-174,88,65
1741564906,-664,-496,15132,-159,109,54
1741564907,-1328,16396,3288,14507,-2471,9265
1741564908,3992,-216,-17472,12124,-555,98
1741564909,3860,-16028,-4268,443,1368,1729
1741564910,948,-16404,-5028,-251,136,-115
1741564911,5696,-12572,-10692,-10083,4837,-2022
1741564912,12200,-8152,-9508,857,1094,766
1741564913,13532,-9456,-5724,-644,-3012,846
1741564914,5116,-6080,-12620,-21749,-11314,5371
1741564915,-10372,-1624,-11644,1156,-4866,-1279
1741564916,-14380,-2204,-9956,-1603,-698,-425
1741564917,-14124,1060,-6464,-697,-1610,-2131
1741564918,-6640,10440,7728,-5856,-1898,4259
1741564919,-444,-632,15604,-540,1391,1123
1741564920,176,9700,11604,9236,-338,447
1741564921,736,16044,-1784,1399,8700,-489
1741564922,2808,13400,-976,28350,712,4342
1741564923,-472,-17988,-13428,4411,3105,6162
1741564924,984,-16256,-7180,648,106,86
1741564925,-3192,-14492,-5788,-1737,-7930,11473
1741564926,-14792,-7024,-3420,-373,-127,-822
1741564927,14280,-9372,-7252,2796,32767,-12411
1741564928,20,-2556,15624,-347,-983,500
